status,product_area,response,justification,request_type
replied,account_access,"Hi,
When a member is removed from a Team plan, their access ends immediately. If you were removed from your organization's Team plan, your access to the workspace has ceased.

To regain access, you would need to be added back to the Team plan. For any membership changes or to resubscribe, the organization would need to take action.","The user lost access to their Claude team workspace because their IT admin removed their seat. They are requesting immediate restoration of access, which falls under account access issues for Claude. Corpus coverage: 0.52. Retrieved 5 chunks from claude corpus.",product_issue
replied,results_and_scoring,"Hi,
I understand you're looking for a review of your test answers, a score increase, and a request to the company to advance you to the next round.

While I can provide information about how scores are calculated, I cannot directly review your answers, increase your score, or communicate with the company on your behalf.

The platform assigns scores based on factors such as:
*   Test case results (passing or failing)
*   The score attained for each question and section
*   The score for specific skills or tags

You may wish to consult the recruiter directly regarding your application status.",The user is disputing a test score on HackerRank and requesting a review and score increase. This falls under results and scoring for HackerRank. Corpus coverage: 0.62. Retrieved 5 chunks from hackerrank corpus.,product_issue
replied,fraud_disputes,"Hi,
To dispute a charge, please contact your issuer or bank. You can find their freephone number on your Visa card. They will likely need detailed information about the transaction to resolve the disputed charge. Visa provides access to Visa Core Rules and Visa Product and Service Rules, which govern financial institution participation in the Visa system. Regional or country-specific rules may apply.","The user is reporting an issue with a merchant after using their Visa card. They are requesting a refund and for the seller to be banned from taking payments. This falls under Visa's fraud and dispute resolution services, as it involves a transaction dispute with a merchant. Corpus coverage: 0.30. Retrieved 5 chunks from visa corpus.",product_issue
escalated,interview_scheduling,"Hi, your request has been escalated to our support team and will be reviewed as a priority. Please expect a response shortly.","The user is reporting a critical bug where mock interviews stopped mid-session, which is a critical failure during an assessment. They are also requesting a refund, indicating a significant issue with the service.",bug
replied,community,"Hi,
I understand you're experiencing an issue with a payment. HackerRank does not store payment methods. When purchasing mock interview credits, you can select your preferred payment option in the Stripe or Razorpay pop-up. For specific order-related issues, please refer to the payment processor you used.","The user is inquiring about a payment issue related to an order ID, which falls under general support for the HackerRank platform, specifically related to community or account-related transactions. Corpus coverage: 0.57. Retrieved 5 chunks from hackerrank corpus.",product_issue
replied,assessment_setup,"Hi,

HackerRank QuickApply is a free browser extension designed to streamline the job application process. It automatically fills in application forms using information from your HackerRank profile, including personal details, work experience, education, and skills. This feature supports applications powered by specific Applicant Tracking Systems (ATSs).

Regarding your company's infosec process and form filling, QuickApply's primary function is to populate job applications. Information on how it directly assists with a company's internal infosec processes or custom form filling for hiring is not detailed in the provided documentation.","The user is asking for assistance with HackerRank's information security processes for their company, which falls under assessment setup as it relates to integrating HackerRank into their hiring workflow. The company field 'HackerRank' aligns with the issue content. Corpus coverage: 0.61. Retrieved 5 chunks from hackerrank corpus.",product_issue
replied,community,"Hi,
I cannot find information in the provided documentation about an ""apply tab."" The available documents discuss features like AI-focused interview rounds, integrations with applicant tracking systems, weekly challenges for skill practice, and how API keys are used for integrations. There is also information on how the system derives optimality from interview guidelines.","The user is reporting that submissions are not working on the HackerRank practice platform, specifically mentioning an issue with the 'apply tab'. This indicates a bug within the community/practice section of HackerRank. Corpus coverage: 0.65. Retrieved 5 chunks from hackerrank corpus.",bug
escalated,Test Execution,"Hi, your request has been escalated to our support team and will be reviewed as a priority. Please expect a response shortly.","The user is reporting that none of their submissions are working on the HackerRank website while taking a test. This indicates a critical bug in the test execution functionality, potentially preventing users from completing assessments.",bug
escalated,Test Execution,"Hi, your request has been escalated to our support team and will be reviewed as a priority. Please expect a response shortly.","The user is reporting a blocker preventing them from taking a test due to a Zoom connectivity issue, despite trying various configurations. This directly impacts test execution and is a critical blocker.",bug
replied,Test Execution,"Hi,
HackerRank does not participate in hiring decisions and is not authorized to reschedule assessments or grant testing accommodations. You will need to contact the company directly to request a rescheduling of your assessment. They can then use the HackerRank platform to update the assessment details. If you are using an Outlook calendar integration, you can reschedule the event directly through your calendar app, and the HackerRank Interview link will remain the same.",The user is requesting to reschedule an assessment they missed due to unforeseen circumstances. This falls under a product issue as they cannot complete their goal of taking the assessment at the scheduled time and need assistance from the platform. Corpus coverage: 0.52. Retrieved 5 chunks from hackerrank corpus.,product_issue
